Speaker_1	Speaker_2	Personality	Utterance_1	Utterance_2	Utterance_3	Emotion_1	Emotion_2	Emotion_3	Sentiment_1	Sentiment_2	Sentiment_3
Chandler	The Interviewer	[0.648, 0.375, 0.386, 0.58, 0.477]	also I was the point person on my company s transition from the KL-5 to GR-6 system.	You must ve had your hands full.	That I did. That I did.	neutral	neutral	neutral	neutral	neutral	neutral
Chandler	The Interviewer	[0.648, 0.375, 0.386, 0.58, 0.477]	That I did. That I did.	So let s talk a little bit about your duties.	My duties?  All right.	neutral	neutral	surprise	neutral	neutral	positive
Chandler	The Interviewer	[0.648, 0.375, 0.386, 0.58, 0.477]	My duties?  All right.	Now you ll be heading a whole division, so you ll have a lot of duties.	I see.	surprise	neutral	neutral	positive	neutral	neutral
Chandler	The Interviewer	[0.648, 0.375, 0.386, 0.58, 0.477]	I see.	But there ll be perhaps 30 people under you so you can dump a certain amount on them.	Good to know.	neutral	neutral	neutral	neutral	neutral	neutral
Chandler	The Interviewer	[0.648, 0.375, 0.386, 0.58, 0.477]	Good to know.	We can go into detail	No don t I beg of you!	neutral	neutral	fear	neutral	neutral	negative
Chandler	The Interviewer	[0.648, 0.375, 0.386, 0.58, 0.477]	No don t I beg of you!	All right then, we ll have a definite answer for you on Monday, but I think I can say with some confidence, you ll fit in well here.	Really?!	fear	neutral	surprise	negative	neutral	positive
Joey	Rachel	[0.574, 0.614, 0.297, 0.545, 0.455]	But then who? The waitress I went out with last month?	You know? Forget it!	No-no-no-no, no! Who, who were you talking about?	surprise	sadness	surprise	positive	negative	positive
Rachel	Joey	[0.635, 0.354, 0.521, 0.552, 0.469]	You know? Forget it!	No-no-no-no, no! Who, who were you talking about?	No, I-I-I-I don't, I actually don't know	sadness	surprise	fear	negative	positive	negative
Joey	Rachel	[0.574, 0.614, 0.297, 0.545, 0.455]	No-no-no-no, no! Who, who were you talking about?	No, I-I-I-I don't, I actually don't know	Ok!	surprise	fear	neutral	positive	negative	neutral
Chandler	Monica	[0.648, 0.375, 0.386, 0.58, 0.477]	Hey, Mon.	Hey-hey-hey. You wanna hear something that sucks.	Do I ever.	neutral	neutral	joy	neutral	neutral	positive
Monica	Chandler	[0.713, 0.457, 0.457, 0.66, 0.511]	Hey-hey-hey. You wanna hear something that sucks.	Do I ever.	Chris says they re closing down the bar.	neutral	joy	sadness	neutral	positive	negative
Chandler	Monica	[0.648, 0.375, 0.386, 0.58, 0.477]	Do I ever.	Chris says they re closing down the bar.	No way!	joy	sadness	surprise	positive	negative	positive
Monica	Chandler	[0.713, 0.457, 0.457, 0.66, 0.511]	Chris says they re closing down the bar.	No way!	Yeah, apparently they re turning it into some kinda coffee place.	sadness	surprise	neutral	negative	positive	neutral
Chandler	Monica	[0.648, 0.375, 0.386, 0.58, 0.477]	No way!	Yeah, apparently they re turning it into some kinda coffee place.	Just coffee! Where are we gonna hang out now?	surprise	neutral	disgust	positive	neutral	negative
Monica	Chandler	[0.713, 0.457, 0.457, 0.66, 0.511]	Yeah, apparently they re turning it into some kinda coffee place.	Just coffee! Where are we gonna hang out now?	Got me.	neutral	disgust	sadness	neutral	negative	negative
Chandler	Monica	[0.648, 0.375, 0.386, 0.58, 0.477]	Just coffee! Where are we gonna hang out now?	Got me.	Can I get a beer.	disgust	sadness	neutral	negative	negative	neutral
Monica	Chandler	[0.713, 0.457, 0.457, 0.66, 0.511]	Got me.	Can I get a beer.	Hey, did you pick a roommate?	sadness	neutral	neutral	negative	neutral	neutral
Chandler	Monica	[0.648, 0.375, 0.386, 0.58, 0.477]	Can I get a beer.	Hey, did you pick a roommate?	You betcha!	neutral	neutral	joy	neutral	neutral	positive
Monica	Chandler	[0.713, 0.457, 0.457, 0.66, 0.511]	Hey, did you pick a roommate?	You betcha!	Is it the Italian guy?	neutral	joy	neutral	neutral	positive	neutral
Chandler	Monica	[0.648, 0.375, 0.386, 0.58, 0.477]	You betcha!	Is it the Italian guy?	Um-mm, yeah right!	joy	neutral	joy	positive	neutral	positive
Phoebe	Chandler	[0.6, 0.48, 0.31, 0.46, 0.56]	Oh my God, oh my God! Poor Monica!	What, what, what?!	What?!	surprise	surprise	surprise	positive	positive	positive
Rachel	Ross	[0.635, 0.354, 0.521, 0.552, 0.469]	Hey!	Hi!	What are you doing here?	surprise	joy	surprise	positive	positive	positive
