train_label,train_precision,train_recall,train_f1-score,train_support,valid_precision,valid_recall,valid_f1-score,valid_support,test_precision,test_recall,test_f1-score,test_support
0.0,0.07050359712230216,0.15457413249211358,0.09683794466403162,317,0.09090909090909091,0.16279069767441862,0.11666666666666668,43,0.08139534883720931,0.1590909090909091,0.1076923076923077,44
1.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.0025380710659898475,0.022222222222222223,0.004555808656036446,45,0.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,0.016483516483516484,0.1875,0.030303030303030307,80,0.04950495049504951,0.12195121951219512,0.07042253521126761,41,0.0625,0.1794871794871795,0.09271523178807947,39
4.0,0.9278074866310161,0.4353826850690088,0.5926558497011103,4782,0.896,0.44621513944223107,0.5957446808510638,502,0.9133574007220217,0.4454225352112676,0.5988165680473373,568
5.0,0.0025,0.037037037037037035,0.00468384074941452,27,0.0,0.0,0.0,0,0.0,0.0,0.0,0
6.0,0.0019455252918287938,0.14285714285714285,0.0038387715930902114,7,0.0,0.0,0.0,0,0.0,0.0,0.0,0
macro avg,0.1459683137992362,0.1399390313825035,0.10469646366667333,5273,0.14805914877202006,0.10442243666126354,0.1118334118184283,586,0.15103610707989015,0.11200008911276517,0.11417487250396063,651
weighted avg,0.8459395134744893,0.4075478854542006,0.5438195506626886,5273,0.7776976004767713,0.40273037542662116,0.5238358709856019,586,0.806153454622036,0.41013824884792627,0.5353028667113429,651
0.0,0.10647482014388489,0.22492401215805471,0.14453125,329,0.025974025974025976,0.18181818181818182,0.045454545454545456,11,0.03488372093023256,0.42857142857142855,0.06451612903225806,7
1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,0.024175824175824177,0.25,0.044088176352705406,88,0.0,0.0,0.0,0,0.0,0.0,0.0,0
