train_label,train_precision,train_recall,train_f1-score,train_support,valid_precision,valid_recall,valid_f1-score,valid_support,test_precision,test_recall,test_f1-score,test_support
0.0,0.02014388489208633,0.2692307692307692,0.037483266398929044,52,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,0.023076923076923078,0.1099476439790576,0.03814713896457766,191,0.0,0.0,0.0,0,0.0,0.0,0.0,0
4.0,0.9429590017825312,0.43378433784337844,0.5942151081156978,4878,1.0,0.42662116040955633,0.5980861244019139,586,1.0,0.4254992319508449,0.5969827586206897,651
5.0,0.0275,0.07236842105263158,0.03985507246376811,152,0.0,0.0,0.0,0,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
macro avg,0.14481140139307724,0.12647588172940524,0.10138579799185322,5273,0.14285714285714285,0.060945880058508047,0.08544087491455912,586,0.14285714285714285,0.06078560456440641,0.08528325123152711,651
weighted avg,0.8741492859884825,0.41001327517542197,0.5526027881277916,5273,1.0,0.42662116040955633,0.5980861244019139,586,1.0,0.4254992319508449,0.5969827586206897,651
0.0,0.011510791366906475,0.18604651162790697,0.02168021680216802,43,0.2077922077922078,0.2909090909090909,0.24242424242424243,55,0.1511627906976744,0.21311475409836064,0.1768707482993197,61
1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
3.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0
4.0,0.9937611408199644,0.4264677758653662,0.5968152013916767,5229,0.928,0.4369114877589454,0.5941101152368758,531,0.9314079422382672,0.43728813559322033,0.5951557093425606,590
5.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
macro avg,0.14361027602669582,0.08750204107046759,0.08835648831340638,5273,0.16225602968460112,0.10397436838114804,0.11950490823730262,586,0.15465296184799165,0.09291469852736871,0.11028949394884004,651
weighted avg,0.9855626719848987,0.4244263227764081,0.5920119357859985,5273,0.8604037055095076,0.4232081911262799,0.5611020555019016,586,0.858297413445677,0.4162826420890937,0.5559615732079405,651
